ref,composer,composer_full,surname,season,titles,category,handwritten,confidence,source_photos,flags
D-226,TCHAIKOVSKY,Pyotr Ilyich Tchaikovsky,Tchaikovsky,,Hymn to the Cherubim,anthem,yes,0.85,IMG_4353;IMG_4354;IMG_4384,
D-227,TOMKINS / TYE,Thomas Tomkins,Tomkins,,When David heard; O come ye servants; Praise ye the Lord,anthem,yes,0.80,IMG_4354;IMG_4377;IMG_4384,
D-228,TRAVERS,John Travers,Travers,,Ascribe unto the Lord (O worship the Lord),anthem,no,0.90,IMG_4355;IMG_4356;IMG_4377;IMG_4384;IMG_4386,
D-229,TYE,Christopher Tye,Tye,,Give almes of thy goods,anthem,yes,0.65,IMG_4355;IMG_4356;IMG_4384;IMG_4385,
D-230,VAUGHAN WILLIAMS,Ralph Vaughan Williams,Vaughan Williams,,O taste and see; Antiphon,anthem,no,0.85,IMG_4354;IMG_4356;IMG_4378;IMG_4396,
D-231,VICTORIA,Tomás Luis de Victoria,Victoria,christmas,O magnum mysterium,anthem,yes,0.90,IMG_4355;IMG_4356;IMG_4385;IMG_4388,
D-232,VICTORIA,Tomás Luis de Victoria,Victoria,saints;passiontide,Gaudent in coelis; Jesu dulcis memoria; Domine non sum dignus; O vos omnes,anthem,yes,0.80,IMG_4355;IMG_4356;IMG_4360;IMG_4385,
D-233,VICTORIA,Tomás Luis de Victoria,Victoria,allsaints,O quam gloriosum,anthem,yes,0.90,IMG_4355;IMG_4356;IMG_4360;IMG_4385,
D-234,VICTORIA,Tomás Luis de Victoria,Victoria,passiontide;holyweek,Palm Sunday Passion,anthem,yes,0.85,IMG_4355;IMG_4356;IMG_4357;IMG_4360;IMG_4385,
D-235,VIVALDI,Antonio Vivaldi,Vivaldi,,Gloria,major work,yes,0.85,IMG_4355;IMG_4356;IMG_4357;IMG_4385;IMG_4388,
D-236,WALKER,Walker,Walker,,I will lift up mine eyes (ATB),anthem,yes,0.90,IMG_4355;IMG_4356;IMG_4357;IMG_4360;IMG_4388,
D-237,WELDON,John Weldon,Weldon,,In Thee O Lord,anthem,no,0.80,IMG_4357;IMG_4388,
D-238,WELDON,John Weldon,Weldon,,O praise God (Ps 150),anthem,no,0.80,IMG_4357;IMG_4388,
D-239,WEELKES,Thomas Weelkes,Weelkes,,Alleluia I heard a voice,anthem,no,0.85,IMG_4357;IMG_4360;IMG_4388,
D-240,WEELKES,Thomas Weelkes,Weelkes,ascension,All people clap your hands,anthem,no,0.85,IMG_4357;IMG_4388,
D-241,WEELKES,Thomas Weelkes,Weelkes,,Gloria in excelsis,anthem,no,0.85,IMG_4357;IMG_4388,
D-242,WEELKES,Thomas Weelkes,Weelkes,advent;holyweek,Hosanna to the Son of David,anthem,no,0.85,IMG_4357;IMG_4388,
D-243,WISE,Michael Wise,Wise,advent,Prepare ye the way; The ways of Zion,anthem,no,0.85,IMG_4356;IMG_4396,
D-244,WOOD,Charles Wood,Wood,,Glory and honour; Expectans expectavi,anthem,no,0.90,IMG_4356;IMG_4396,
D-245,WOOD,Charles Wood,Wood,,O most merciful; Oculi omnium; O Thou the central orb,anthem,no,0.80,IMG_4356;IMG_4360;IMG_4396,
D-246,WOOD,Charles Wood,Wood,,Great Lord of Lords; Hail gladdening light,anthem,no,0.80,IMG_4356;IMG_4357;IMG_4360;IMG_4396,
D-247,WOOD,Charles Wood,Wood,easter,This joyful Eastertide; Jesus Christ is risen today,anthem,yes,0.75,IMG_4356;IMG_4360;IMG_4396,
D-248,RESPONSES BOX,Richard Ayleward,Ayleward,,Ayleward; Ebdon; Dewhurst,responses,yes,0.95,IMG_4349;IMG_4351;IMG_4436;IMG_4437;IMG_4438,
D-249,RESPONSES BOX,William Byrd,Byrd,,Byrd; Morley; Smith; Tomkins,responses,yes,0.95,IMG_4349;IMG_4436;IMG_4437;IMG_4439,
D-250,RESPONSES BOX,Orlando Gibbons,Gibbons,,Gibbons and Barnard; Leighton; Neary,responses,yes,0.95,IMG_4349;IMG_4436;IMG_4437;IMG_4440,
D-251,RESPONSES BOX,John Reading,Reading,,Reading; Shephard; Smith,responses,yes,0.90,IMG_4349;IMG_4436;IMG_4437;IMG_4443,
D-252,RESPONSES BOX,Plainsong,Plainsong,,Plainsong; Payne?,responses,yes,0.60,IMG_4349;IMG_4436;IMG_4437;IMG_4446,check second name
D-253,RESPONSES BOX,Bernard Rose,Rose,,Rose,responses,yes,0.95,IMG_4349;IMG_4436;IMG_4437;IMG_4447,
D-254,RESPONSES BOX,Alan Spedding,Spedding,,Spedding; Tallis (men's voices TT/BB); Stone Lord's Prayer; Farmer Lord's Prayer,responses,yes,0.90,IMG_4349;IMG_4436;IMG_4437;IMG_4448,
D-255,HYMN DESCANTS,Various,Various,,St Patrick's Breastplate binder + Hymn Descants binder + numbered binders 1-150 (18 binders),hymn,yes,0.90,IMG_4350;IMG_4351;IMG_4352;IMG_4429;IMG_4430;IMG_4431;IMG_4432;IMG_4433,indexed by hymn number
D-256,ARNOLD,John Henry Arnold,Arnold,,"Fauxbourdons (Simple 3-part Magnificat & Nunc Dimittis, ed. J.H. Arnold)",setting,yes,0.90,IMG_4359;IMG_4399;IMG_4402,
D-257,ARNOLD,Arnold,Arnold,,in A,setting,no,0.90,IMG_4359;IMG_4399,
D-258,ATKINS,Ivor Atkins,Atkins,,in G,setting,yes,0.85,IMG_4359;IMG_4399,
D-259,BAIRSTOW,Edward Bairstow,Bairstow,,in E flat (trebles),setting,no,0.90,IMG_4359;IMG_4399,
D-260,BLAIR,Hugh Blair,Blair,,in B minor,setting,no,0.90,IMG_4359;IMG_4399,
D-261,BREWER,Herbert Brewer,Brewer,,in D,setting,yes,0.85,IMG_4359;IMG_4404,
D-262,BRITTEN,Benjamin Britten,Britten,,Jubilate in C,setting,yes,0.85,IMG_4364;IMG_4367;IMG_4477;IMG_4499,
D-263,BYRD,William Byrd,Byrd,,Mag & Nunc 2nd Service (1 of 2 and 2 of 2),setting,yes,0.90,IMG_4358;IMG_4407;IMG_4409,
D-264,DYSON,George Dyson,Dyson,,in F; in D; in C minor,setting,no,0.90,IMG_4358;IMG_4359;IMG_4412;IMG_4413,
D-265,FARRANT,Richard Farrant,Farrant,,"Evening Service (Mag & Nunc, 4 voices); Greg. Tone; Gibbons cross-refs",setting,yes,0.65,IMG_4358;IMG_4359;IMG_4413;IMG_4415,check
D-266,GIBBONS,Orlando Gibbons,Gibbons,,Second Service,setting,no,0.85,IMG_4358;IMG_4413,
D-267,HARWOOD,Basil Harwood,Harwood,,in A flat,setting,no,0.90,IMG_4358;IMG_4413,
D-268,HOWELLS,Herbert Howells,Howells,,Collegium Regale,setting,no,0.95,IMG_4358;IMG_4419;IMG_4420,
D-269,HOWELLS,Herbert Howells,Howells,,Gloucester Service,setting,no,0.90,IMG_4358;IMG_4419,
D-270,HOWELLS,Herbert Howells,Howells,,St Paul's Service (2 boxes),setting,yes,0.90,IMG_4359;IMG_4421,
D-271,HOWELLS,Herbert Howells,Howells,,Collegium Regale Communion,setting,yes,0.90,IMG_4365;IMG_4480;IMG_4506,
D-272,IRELAND,John Ireland,Ireland,,in F,setting,yes,0.85,IMG_4359;IMG_4421,
D-273,IRELAND,John Ireland,Ireland,,in C,setting,yes,0.75,IMG_4365;IMG_4481,
D-274,IRELAND,John Ireland,Ireland,general,Te Deum Laudamus (2 boxes),canticle,mixed,0.85,IMG_4363;IMG_4364;IMG_4367;IMG_4477;IMG_4478;IMG_4501,
D-275,JACKSON,Francis Jackson,Jackson,,in G,setting,yes,0.75,IMG_4359;IMG_4421,
D-276,KELLY,Bryan Kelly,Kelly,,in C,setting,no,0.80,IMG_4359;IMG_4421,
D-277,LANGLAIS,Jean Langlais,Langlais,,Messe solennelle,setting,yes,0.95,IMG_4365;IMG_4481;IMG_4508,
D-278,LEIGHTON,Kenneth Leighton,Leighton,,Collegium Magdalenae Oxoniense,setting,yes,0.85,IMG_4359;IMG_4422,
D-279,LANG,Craig Sellar Lang,Lang,,in A (Mag and Nunc),setting,yes,0.65,IMG_4359;IMG_4421,check name LANG vs LONG
D-280,LOTTI,Antonio Lotti,Lotti,,Messa a tre voci (ATB),setting,yes,0.85,IMG_4365;IMG_4481;IMG_4509,
D-281,MORRILL (E.),Morrill,Morrill,,(service setting),setting,yes,0.70,IMG_4358;IMG_4359;IMG_4422,check
D-282,MOZART,Wolfgang Amadeus Mozart,Mozart,,Missa brevis in C (Spatzenmesse KV220),setting,yes,0.90,IMG_4365;IMG_4366;IMG_4482;IMG_4511;IMG_4513,check K number: cover KV220 / spine KV259
D-283,NOBLE,Thomas Tertius Noble,Noble,,in A minor,setting,no,0.85,IMG_4358;IMG_4359;IMG_4422,
D-284,NOBLE,Thomas Tertius Noble,Noble,,Second (Service?),setting,yes,0.40,IMG_4358,check
D-285,PALESTRINA,Giovanni Pierluigi da Palestrina,Palestrina,,Missa brevis in F,setting,yes,0.90,IMG_4365;IMG_4366;IMG_4482;IMG_4513,
D-286,PAYNE,Payne,Payne,,(Service); in C,setting,yes,0.40,IMG_4358,check
D-287,PLAINSONG,Plainsong,Plainsong,,Magnificat Tone VI; Nunc Dimittis Tone IV,setting,yes,0.75,IMG_4359;IMG_4422,
D-288,RHEINBERGER,Josef Rheinberger,Rheinberger,,Mass in E flat,setting,yes,0.80,IMG_4365;IMG_4366;IMG_4482;IMG_4513;IMG_4515,
D-289,SEIBER,Mátyás Seiber,Seiber,,Missa brevis,setting,yes,0.95,IMG_4366;IMG_4483;IMG_4518,
D-290,SPEDDING,Alan Spedding,Spedding,,in B flat,setting,yes,0.80,IMG_4362,
D-291,SPEDDING,Alan Spedding,Spedding,,Magnificat (1985); possibly in E flat,setting,yes,0.55,IMG_4367;IMG_4472;IMG_4484,check
D-292,STANFORD,Charles Villiers Stanford,Stanford,,in B flat (+ Te Deum),setting,mixed,0.95,IMG_4362;IMG_4363;IMG_4364;IMG_4367;IMG_4472;IMG_4473;IMG_4478;IMG_4479;IMG_4489;IMG_4490,
D-293,STANFORD,Charles Villiers Stanford,Stanford,,in C - Mag & Nunc + Te Deum (Op. 115),setting,yes,0.95,IMG_4362;IMG_4364;IMG_4472;IMG_4473;IMG_4478;IMG_4486;IMG_4487;IMG_4502;IMG_4503,
D-294,STANFORD,Charles Villiers Stanford,Stanford,,in E (+ Reproaches?),setting,yes,0.40,IMG_4364,check
D-295,STANFORD,Charles Villiers Stanford,Stanford,,Jubilate in B flat,canticle,yes,0.85,IMG_4364;IMG_4478;IMG_4479;IMG_4505,
D-296,STANFORD,Charles Villiers Stanford,Stanford,,Coronation Gloria in B flat,setting,yes,0.75,IMG_4365;IMG_4366;IMG_4483;IMG_4519,
D-297,STATHAM,Heathcote Statham,Statham,,in E minor,setting,no,0.90,IMG_4362;IMG_4473,
D-298,SUMSION,Herbert Sumsion,Sumsion,,in G (Mag & Nunc),setting,yes,0.60,IMG_4362;IMG_4367;IMG_4473,
D-299,SUMSION,Herbert Sumsion,Sumsion,,in A (+ in C?),setting,yes,0.80,IMG_4362;IMG_4367;IMG_4473,
D-300,SUMSION,Herbert Sumsion,Sumsion,,in D and G (Treble only),setting,yes,0.85,IMG_4362;IMG_4473,
D-301,SUMSION,Herbert Sumsion,Sumsion,,in F,setting,yes,0.85,IMG_4366;IMG_4367;IMG_4483;IMG_4519,
D-302,TALLIS,Thomas Tallis,Tallis,,Short Service (Dorian),setting,yes,0.90,IMG_4363;IMG_4367;IMG_4474,
D-303,THORNE,David Thorne,Thorne,,Mass of St Thomas,setting,yes,0.90,IMG_4366;IMG_4367;IMG_4483;IMG_4520,
D-304,TOMKINS,Thomas Tomkins,Tomkins,,Second Service; Fauxbourdons?,setting,yes,0.50,IMG_4363;IMG_4367;IMG_4474,
D-305,TOMKINS,Thomas Tomkins,Tomkins,,Fifth Service (2 boxes),setting,yes,0.90,IMG_4363;IMG_4367;IMG_4474,
D-306,WALMISLEY,Thomas Attwood Walmisley,Walmisley,,in D minor,setting,yes,0.85,IMG_4363;IMG_4367;IMG_4474,
D-307,WEELKES,Thomas Weelkes,Weelkes,,(Service) for 5 voices,setting,yes,0.85,IMG_4363;IMG_4367;IMG_4474,
D-308,WEELKES / WALMISLEY,Thomas Weelkes,Weelkes,,Weelkes Short Service; Walmisley in D,setting,yes,0.85,IMG_4363;IMG_4367;IMG_4476;IMG_4492;IMG_4493,
D-309,WESLEY,Samuel Sebastian Wesley,Wesley,,in E (2 boxes),setting,yes,0.90,IMG_4363;IMG_4367;IMG_4474;IMG_4476,
D-310,WEST,West,West,,in C (ATB),setting,yes,0.85,IMG_4363;IMG_4367;IMG_4476,
D-311,WOOD,Charles Wood,Wood,,in D,setting,yes,0.80,IMG_4363;IMG_4475,
D-312,WOOD,Charles Wood,Wood,,in E flat no.1; in E flat no.2,setting,yes,0.70,IMG_4363;IMG_4475,
D-313,WOOD,Charles Wood,Wood,,in G (ATB),setting,yes,0.90,IMG_4364;IMG_4367;IMG_4477,
D-314,WESLEY,Samuel Sebastian Wesley,Wesley,,Blessed be the God and Father,anthem,mixed,0.85,IMG_4354;IMG_4389;IMG_4390,two parcels (hw + SS Wesley typed set)
D-315,WESLEY,Samuel Sebastian Wesley,Wesley,,Thou wilt keep him; Wash me throughly (S.S. Wesley set),anthem,no,0.80,IMG_4354;IMG_4390,
D-316,WESLEY,Samuel Sebastian Wesley,Wesley,,The Wilderness (2 boxes),anthem,yes,0.85,IMG_4354;IMG_4360;IMG_4390,
D-317,WESLEY,Samuel Sebastian Wesley,Wesley,,Ascribe unto the Lord (2 boxes),anthem,yes,0.80,IMG_4354;IMG_4390,
D-318,WESLEY,Samuel Sebastian Wesley,Wesley,,In exitu Israel,anthem,yes,0.80,IMG_4354;IMG_4390,
D-319,WESLEY,Samuel Sebastian Wesley,Wesley,,The Lord is my shepherd,anthem,yes,0.92,IMG_4354;IMG_4389,
D-320,MISC BOX,Various,Various,,Misc. Sacred,collection,no,0.55,IMG_4361,
D-321,HANDEL,George Frideric Handel,Handel,advent;christmas;easter,Messiah (Novello vocal scores ~10 copies),major work,no,0.95,IMG_4361;IMG_4434,
D-322,COLLECTION,Various,Various,,Anthems - Stainer & Simper,collection,no,0.75,IMG_4358;IMG_4359;IMG_4422,
D-323,COLLECTION,Various,Various,,Unison / S.A. Evenings,collection,no,0.90,IMG_4320,
D-324,SCHUBERT?,Schubert,Schubert,,Nunc dimittis? (reddish parcel),anthem,yes,0.20,IMG_4338,check; re-shoot
D-325,SPEDDING,Alan Spedding,Spedding,,Hail gladdening Light,anthem,yes,0.90,IMG_4372;IMG_4374,manuscript; signed AJS June 2001
D-326,SPEDDING,Alan Spedding,Spedding,,Introit: Let my prayer come up into Thy presence,anthem,yes,0.75,IMG_4372;IMG_4374,manuscript
D-327,SPEDDING,Alan Spedding,Spedding,easter,Christ the Lord is risen again,anthem,yes,0.85,IMG_4372;IMG_4374,manuscript
D-328,SPEDDING,Alan Spedding,Spedding,lent;passiontide,"Drop, drop, slow tears",anthem,yes,0.85,IMG_4372;IMG_4374,manuscript
D-329,UNKNOWN,Unknown,Unknown,,Sing praise to God Who reigns above,hymn,no,0.40,IMG_4372;IMG_4374,check
D-330,SCHUBERT,Franz Schubert,Schubert,marian,Ave Maria (arr. Wanda Sobieska),anthem,no,0.95,IMG_4375,
D-331,SPEDDING,Alan Spedding,Spedding,,Sing to the Lord a new song (Psalm 96),anthem,no,0.95,IMG_4376,Eboracum Choral Series ECS 345
D-332,STAINER,John Stainer,Stainer,trinity,I saw the Lord,anthem,yes,0.80,IMG_4377,
D-333,STANFORD,Charles Villiers Stanford,Stanford,,For lo I raise up,anthem,no,0.50,IMG_4378,check; label fragment FOR LO...RAISE UP
D-334,SUMSION,Herbert Sumsion,Sumsion,,They that go down to the sea,anthem,no,0.85,IMG_4378,
D-335,SULLIVAN,Arthur Sullivan,Sullivan,,Song of Peace,anthem,yes,0.75,IMG_4379,check vs STANFORD D-214
D-336,TALLIS,Thomas Tallis,Tallis,pentecost,If ye love me,anthem,no,0.98,IMG_4381,interior page
D-337,THATCHER,Reginald Thatcher,Thatcher,easter,"Come, ye faithful (Hymn Anthem for Easter)",anthem,no,0.95,IMG_4382,
D-338,THIMAN,Eric Thiman,Thiman,,Sing Alleluia forth,anthem,yes,0.90,IMG_4383,
D-339,WATTS,Watts,Watts,saints,Sanctus Johannes,anthem,yes,0.45,IMG_4388,check
D-340,WHEELER,Wheeler,Wheeler,,We sing to God,anthem,yes,0.75,IMG_4388,
D-341,WALFORD DAVIES,Henry Walford Davies,Walford Davies,easter,O sons and daughters; God be in my head,anthem,no,0.85,IMG_4388,
D-342,WARD,Ward,Ward,,O let me tread in the right path,anthem,no,0.85,IMG_4388,
D-343,WHITLOCK,Percy Whitlock,Whitlock,,"Here, O my Lord, I see Thee face to face",anthem,yes,0.90,IMG_4391,
D-344,WHITE,Robert White,White,lent,"Christe, qui lux es et dies",anthem,yes,0.90,IMG_4392,
D-345,VAUGHAN WILLIAMS,Ralph Vaughan Williams,Vaughan Williams,ascension,O clap your hands,anthem,yes,0.90,IMG_4393,
D-346,VAUGHAN WILLIAMS,Ralph Vaughan Williams,Vaughan Williams,,O how amiable,anthem,yes,0.90,IMG_4394,
D-347,VAUGHAN WILLIAMS,Ralph Vaughan Williams,Vaughan Williams,,The Old Hundredth,hymn,no,0.90,IMG_4396;IMG_4397,
D-348,WOOD,Charles Wood,Wood,,"View me, Lord",anthem,yes,0.85,IMG_4398,
D-349,ASTON,Peter Aston,Aston,,in F,setting,yes,0.75,IMG_4399,
D-350,BATTEN,Adrian Batten,Batten,,Fourth Evening Service (Mag & Nunc for men's voices),setting,no,0.95,IMG_4399;IMG_4400,
D-351,AYLEWARD,Richard Ayleward,Ayleward,,Short Evening Service,setting,no,0.95,IMG_4401,
D-352,BLOW,John Blow,Blow,,Mag & Nunc from the Short Service No. 4 in F,setting,no,0.95,IMG_4403,
D-353,COLLECTION,Various,Various,,Evenings B binder (Burgon / Dyson Nunc Dimittis settings),collection,yes,0.40,IMG_4404,check
D-354,BYRD,William Byrd,Byrd,,Evening Service in Five Parts (Mag & Nunc),setting,no,0.95,IMG_4405,
D-355,BYRD,William Byrd,Byrd,,Fauxbourdons,setting,no,0.90,IMG_4406,
D-356,BURGON,Geoffrey Burgon,Burgon,,Nunc Dimittis,canticle,no,0.95,IMG_4408,purchased 2019
D-357,CAUSTUN,Thomas Caustun,Caustun,,Evening Service for Four Voices,setting,no,0.95,IMG_4410,old ref T.C.M. 95
D-358,DYKES,John Bacchus Dykes,Dykes,,Magnificat and Nunc Dimittis in F,setting,no,0.90,IMG_4411,
D-359,GRAY,Gray,Gray,,in F minor,setting,yes,0.90,IMG_4413,
D-360,GIBBONS,Orlando Gibbons,Gibbons,,Mag & Nunc No.6 (Gregorian Tones faux-bourdon),setting,no,0.85,IMG_4416,
D-361,GIBBONS,Orlando Gibbons,Gibbons,,Short Service (TATB),setting,no,0.90,IMG_4417,
D-362,HARRIS,William H. Harris,Harris,,in A minor,setting,no,0.95,IMG_4418,
D-363,MOERAN,Ernest John Moeran,Moeran,,in D,setting,yes,0.75,IMG_4422,shared box with Morley Fauxbourdons
D-364,MORLEY,Thomas Morley,Morley,,Fauxbourdons,setting,yes,0.70,IMG_4422,shared box with Moeran in D
D-365,NOBLE,Thomas Tertius Noble,Noble,,Mag & Nunc in B minor (1 of 2),setting,yes,0.93,IMG_4423,check vs D-284
D-366,POYSER,Robert Poyser,Poyser,,Bridlington Service (Mag & Nunc),setting,no,0.95,IMG_4424,
D-367,POYSER,Robert Poyser,Poyser,,Magnificat and Nunc Dimittis in C (Boys' Voices),setting,no,0.93,IMG_4425,old ref C7
D-368,D. PURCELL,Daniel Purcell,Purcell,,Magnificat & Nunc Dimittis in E minor,setting,no,0.95,IMG_4426,
D-369,H. PURCELL,Henry Purcell,Purcell,,Evening Service in G minor (transposed to A minor),setting,no,0.95,IMG_4427,
D-370,PARRY,Charles Hubert Hastings Parry,Parry,,"Laudate Dominum (Hymn 427, from Hear my words)",hymn,no,0.85,IMG_4428,hymnal volume page
D-371,HALLS,Halls,Halls,,Preces and Responses Set Two (upper voices),responses,no,0.92,IMG_4441,RSCM Open thou our lips anthology
D-372,POYSER,Robert Poyser,Poyser,,Responses in A flat,responses,no,0.95,IMG_4444,
D-373,POYSER,Robert Poyser,Poyser,,Preces and Responses in G,responses,yes,0.85,IMG_4445,manuscript
D-374,BACH,Johann Sebastian Bach,Bach,,Et misericordia,anthem,yes,0.90,IMG_4449,
D-375,FORBES L'ESTRANGE,Joanna Forbes L'Estrange,Forbes L'Estrange,,Sing for the King: The mountains shall bring peace,anthem,no,0.97,IMG_4454;IMG_4455,RSCM 2023 coronation
D-376,MARTIN,Martin,Martin,,"Hail, gladdening Light",anthem,no,0.90,IMG_4456,ex St Philip's Church Hull
D-377,PARRY,Charles Hubert Hastings Parry,Parry,,Gaudium Caeleste (Hymn 779),hymn,no,0.90,IMG_4458,hymnal volume page
D-378,RACHMANINOV,Sergei Rachmaninov,Rachmaninov,marian,Bogoroditse Devo (Op. 37 No. 6),anthem,no,0.95,IMG_4468,
D-379,RHEINBERGER,Josef Rheinberger,Rheinberger,,Abendlied (Op. 69 No. 3),anthem,no,0.95,IMG_4469,
D-380,RHEINBERGER,Josef Rheinberger,Rheinberger,advent,Rorate coeli (Op. 176 No. 1),anthem,no,0.95,IMG_4470,
D-381,RUBBRA,Edmund Rubbra,Rubbra,,Magnificat and Nunc Dimittis in A flat,setting,no,0.95,IMG_4471;IMG_4472,
D-382,VIADANA,Lodovico Viadana,Viadana,,"Magnificat Tone I (fauxbourdon, 2nd ending)",setting,yes,0.85,IMG_4494,manuscript
D-383,NANINO,Giovanni Maria Nanino,Nanino,,"Nunc Dimittis Tone II (fauxbourdon, 1st ending)",setting,yes,0.85,IMG_4495,manuscript
D-384,WISE,Wise,Wise,,in F,setting,yes,0.85,IMG_4476,
D-385,HOWELLS / SUMSION / TALLIS,Herbert Howells,Howells,,Services for Men's Voices (Howells in E; Sumsion in G; Tallis Responses),collection,no,0.85,IMG_4477;IMG_4498,
D-386,STANFORD,Charles Villiers Stanford,Stanford,,Magnificat and Nunc Dimittis in A (1 of 2),setting,yes,0.95,IMG_4485;IMG_4488,
D-387,STANFORD,Charles Villiers Stanford,Stanford,,Magnificat & Nunc Dimittis in G,setting,no,0.97,IMG_4491,
D-388,STANFORD,Charles Villiers Stanford,Stanford,,Jubilate in C (Op. 115),canticle,yes,0.90,IMG_4478;IMG_4479;IMG_4504,
D-389,SULLIVAN,Arthur Sullivan,Sullivan,general,Te Deum in B flat,canticle,yes,0.90,IMG_4479;IMG_4505,
D-390,PARRY,Charles Hubert Hastings Parry,Parry,,Benedictus in D,canticle,yes,0.95,IMG_4479;IMG_4501,
D-391,DYSON,George Dyson,Dyson,general,Te Deum in C,canticle,yes,0.92,IMG_4500,
D-392,JACKSON,Francis Jackson,Jackson,,Communion Service in G,setting,yes,0.90,IMG_4506,
D-393,MATHIAS,William Mathias,Mathias,,Communion Service (Series 3),setting,no,0.90,IMG_4481;IMG_4509,
D-394,MERBECKE,John Merbecke,Merbecke,,Setting of the Office of Holy Communion,setting,no,0.95,IMG_4510,
D-395,MOZART,Wolfgang Amadeus Mozart,Mozart,,"Missa Brevis in G, KV140",setting,no,0.95,IMG_4512,
D-396,RHEINBERGER,Josef Rheinberger,Rheinberger,,Kleiner und leichter Messgesang (Op. 62),setting,no,0.95,IMG_4514,
D-397,SCHUBERT,Franz Schubert,Schubert,,Mass in G,setting,no,0.95,IMG_4517,
D-398,SHEPHARD,Richard Shephard,Shephard,,The Addington Service (Holy Communion Series 3),setting,no,0.97,IMG_4516,RSCM No. 121
D-399,VAUGHAN WILLIAMS,Ralph Vaughan Williams,Vaughan Williams,,Mass in G minor,setting,no,0.97,IMG_4521,
D-400,WOOD,Charles Wood,Wood,,Short Communion Service in the Phrygian Mode,setting,no,0.95,IMG_4522,
D-401,WOOD,Charles Wood,Wood,,Magnificat & Nunc Dimittis (Collegium Regale),setting,no,0.95,IMG_4496,
D-402,WOOD,Charles Wood,Wood,,Mag & Nunc in C minor,setting,yes,0.95,IMG_4497,
D-403,JONES (Peter),Peter Jones,Jones,,Coventry Gloria,setting,no,0.95,IMG_4507,
D-404,RSCM,RSCM,RSCM,,Festival Evensong & Awards Ceremony 2014 (York Minster) - Festival Music Book,collection,no,0.95,IMG_4523,
D-405,RSCM,RSCM,RSCM,,Area Festival 2017 'Journeying' (Hull Minster),collection,no,0.95,IMG_4524,
D-406,RSCM,RSCM,RSCM,marian,"Choral Vespers of Our Lady (Ampleforth Abbey, 2013)",collection,no,0.95,IMG_4525,
D-407,RSCM,RSCM,RSCM,,Festival Evensong 2012 (York Minster),collection,no,0.95,IMG_4526,
D-408,RSCM,RSCM,RSCM,,Festival Service Book Seven - The Journey,collection,no,0.90,IMG_4527,
D-409,RSCM,RSCM,RSCM,,Area Festival 2018 (Durham Cathedral),collection,yes,0.90,IMG_4528,
D-410,RSCM,RSCM,RSCM,,Festival Evensong Music 1991 (Beverley Minster),collection,no,0.92,IMG_4529,
